Regions Code,Regions,Household composition Code,Household composition,Ethnic group Code,Ethnic group,Industry Code,Industry,Observation
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",1,"A, B, D, E Agriculture, energy and water",27
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",2,C Manufacturing,197
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",3,F Construction,78
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",4,"G, I Distribution, hotels and restaurants",881
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",5,"H, J Transport and communication",291
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",6,"K, L, M, N Financial, real estate, professional and administrative activities",401
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",7,"O, P, Q Public administration, education and health",1241
E12000001,North East,1,One-person household,1,"Asian, Asian British or Asian Welsh",8,"R, S, T, U Other",99
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",1,"A, B, D, E Agriculture, energy and water",14
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",2,C Manufacturing,119
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",3,F Construction,50
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",4,"G, I Distribution, hotels and restaurants",265
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",5,"H, J Transport and communication",154
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",6,"K, L, M, N Financial, real estate, professional and administrative activities",227
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",7,"O, P, Q Public administration, education and health",691
E12000001,North East,1,One-person household,2,"Black, Black British, Black Welsh, Caribbean or African",8,"R, S, T, U Other",51
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,1,"A, B, D, E Agriculture, energy and water",40
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,2,C Manufacturing,128
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,3,F Construction,76
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,4,"G, I Distribution, hotels and restaurants",308
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,5,"H, J Transport and communication",142
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,6,"K, L, M, N Financial, real estate, professional and administrative activities",215
E12000001,North East,1,One-person household,3,Mixed or Multiple ethnic groups,7,"O, P, Q Public administration, education and health",543
